# prefix,country_code,region_code,city,postal
156.236.127.0/24,HK,HK,Hong Kong,999077
156.233.170.0/24,HK,HK,Hong Kong,999077
156.233.171.0/24,HK,HK,Hong Kong,999077
156.233.176.0/24,HK,HK,Hong Kong,999077
156.233.181.0/24,HK,HK,Hong Kong,999077
156.233.191.0/24,HK,HK,Hong Kong,999077
154.223.182.0/24,HK,HK,Hong Kong,999077
45.192.160.0/24,HK,HK,Hong Kong,999077
45.192.161.0/24,HK,HK,Hong Kong,999077
45.192.163.0/24,HK,HK,Hong Kong,999077
45.192.175.0/24,HK,HK,Hong Kong,999077
45.192.180.0/24,HK,HK,Hong Kong,999077
45.192.181.0/24,HK,HK,Hong Kong,999077
45.192.185.0/24,HK,HK,Hong Kong,999077
156.236.108.0/24,HK,HK,Hong Kong,999077
156.236.109.0/24,HK,HK,Hong Kong,999077
185.78.105.0/24,HK,HK,Hong Kong,999077
